RTT	Window	ACK
7460	112.395144788	698
7500	112.304568729	699
7534	112.302025204	700
7530	112.863956267	701
7581	112.601357601	702
7624	112.457972823	703
7668	112.299411494	703
7658	112.931315359	704
7690	112.942544953	705
7746	112.601673729	706
7746	113.075315665	706
7771	113.181682902	707
7814	113.024461807	708
7813	113.50268055	709
7918	112.45326314	710
7923	112.835896503	711
7939	113.059356482	711
8163	110.393651839	712
8288	109.157145776	713
8353	108.731178033	714
8458	54.5238148952	715
8410	55.4113703005	716
8363	56.2901346967	716
8477	56.0812728973	717
8445	56.8328264202	718
8408	57.6135687869	719
8523	57.3494553114	720
8471	58.2080072806	721
8422	59.0465219375	721
8531	58.7764178874	722
8481	59.6012482362	723
8439	60.3699574365	724
8566	59.9317888472	725
8546	60.5220435479	726
8537	61.0286160274	726
8611	60.9357225473	727
8571	61.6464808975	728
8450	62.9546284069	729
8461	63.2907642642	729
8449	63.7925584278	730
8375	64.7652227027	731
8296	65.7884457604	732
8356	65.7134301985	733
8290	66.6310717264	733
8229	67.5164400654	734
8293	67.3780684109	735
8226	68.3070064958	736
8155	69.2796222668	736
8201	69.2614459046	737
8138	70.1656339504	738
8077	71.06113771	739
8088	71.324526949	739
8061	71.9197122276	740
7996	72.858657948	741
7930	73.8174988972	742
7991	73.5991097022	743
7932	74.489640618	743
7877	75.3507185718	744
7921	75.2668365787	745
7859	76.1936116645	746
7806	77.0419275986	746
7801	77.4183307891	747
7792	77.8310592143	748
7730	78.7771790063	748
7787	78.5161140825	749
7850	78.1952094184	750
7856	78.4407377342	750
7859	78.7122646768	751
7911	78.490799662	751
7960	78.2982496882	752
7964	78.545991175	753
7974	78.730856597	754
8081	77.964769042	755
8087	78.179931298	755
8081	78.5080732956	756
8074	78.8434066705	757
8128	78.5821021436	758
8187	78.2735014821	758
8192	78.4804173447	759
8235	78.3211905016	760
8233	78.5881004661	761
8255	78.6231920298	761
8319	78.2583531737	762
8373	77.9895580933	763
8394	78.0272575132	764
8401	78.1923913386	765
8413	78.3082553119	765
8535	77.4107029612	766
8556	77.4396444854	767
8575	77.4842465774	768
8641	77.1047457217	769
8643	77.2970010864	769
8637	77.5587966982	770
8682	77.361718011	771
8744	77.0145914514	772
8747	77.187499418	772
8747	77.384830621	773
8750	77.5536020618	774
8841	76.9467286045	775
8830	77.2323208105	776
8828	77.4377388586	776
8873	77.2301549624	777
8864	77.4921081088	778
8860	77.7089426609	779
8857	77.9154280917	779
8845	78.1998202303	780
8750	79.2277528107	781
8627	80.5370857438	782
8558	81.3659057092	782
8373	83.3453942624	782
8154	85.7687431827	782
8000	87.6064565259	782
7806	89.9732432796	782
7568	92.9964287281	782
7438	94.8170666102	782
7275	97.1393020576	782
7143	99.1340320765	782
7031	100.914154381	782
6976	101.910504042	782
6850	103.987638959	782
6749	105.747597253	782
6663	107.317042847	782
6581	108.859482012	782
6631	108.240547609	783
6624	108.555263791	784
6651	108.312342122	785
6645	108.606347131	785
6635	108.964819536	786
6670	108.585116982	787
6669	108.791838679	788
6652	109.259145873	788
6637	109.694148197	789
6630	109.996617232	790
6719	108.722205461	791
6716	108.951900868	791
6694	109.490155251	792
6682	109.865761632	793
6673	110.191644801	794
6659	110.599894347	794
6696	110.162886345	795
6679	110.616399314	796
6666	111.00413148	797
6701	110.594034514	798
6695	110.861582336	798
6674	111.377982065	799
6701	111.094732983	800
6686	111.508503901	801
6663	112.057167616	802
6637	112.659192075	802
6610	113.281755715	803
6586	113.856217277	804
6649	112.936242767	805
6633	56.9201821002	805
6561	58.8366455199	806
6492	60.7388789109	807
6417	62.7134337018	807
6400	64.1224618676	808
6344	65.9176127906	809
6336	67.2085729622	810
6334	68.4161970521	811
6261	70.3933164521	811
6230	71.9090198024	812
6342	71.7653987761	813
6324	73.0814392917	814
6340	73.9891050283	815
6417	74.1643495499	815
6385	75.5891236181	816
6351	77.0377581798	817
6318	78.4753404539	817
6369	78.8603112981	818
6339	80.2386035725	819
6352	81.0648437157	820
6411	81.2881606564	820
6375	82.7104002174	821
6338	84.1507884176	822
6305	85.5428287714	822
6358	85.7629175994	823
6331	87.0556259542	823
6300	88.405590253	824
6401	87.9082554845	825
6459	87.9993192035	825
6610	86.8407811909	826
6676	86.8173016752	826
6799	86.0587480915	827
6920	85.3442851634	827
6973	85.4726563991	828
7084	84.8912977248	828
7167	84.6506399883	829
7270	84.1768430978	830
7308	84.4546662548	830
7444	83.6082013198	831
7527	83.3693381898	831
7680	82.3724530495	832
7747	82.3129940314	833
7916	81.1896115998	834
8026	80.6972319709	835
8154	80.0363902254	835
8203	80.1560481895	836
8338	79.4419327109	837
8406	79.3740005749	838
8564	78.4696267632	838
